,Product Name,Price,Body Material,Body Shape,Body Finish,Neck Material,Neck Finish,Neck Shape,Scale Length,Fingerboard Material,Fingerboard Radius,Number of Frets,Fret Size,Nut Material,Nut Width,Position Inlays,Truss Rod,Bridge Pickup,Neck Pickup,Controls,Configuration,Bridge,Hardware Finish,Tuning Machines,Pickguard,Control Knobs,Strings,Legal Notice,Case/Gig Bag,Included Accessories,Neck Construction,Side Dots,Truss Rod Nut,Middle Pickup,Switching,Neck Plate,Recommended Case,Special Electronics,Auxillary Switching,Neck Binding,Other Features,Body Binding
0,Affinity Series™ Precision Bass® PJ Pack,385.00 €,Pioppo,Precision Bass®,Gloss Polyurethane,Maple,Satin Urethane with Gloss Urethane Headstock Face,"""C"" Shape","34"" (864 mm)",Indian Laurel,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto in Pearloid,Head Adjust,Ceramic Single-Coil Jazz Bass®,Ceramic Split Single-Coil,"Volume 1. (Neck Pickup), Volume 2. (Bridge Pickup), Master Tone",PJ,4-Saddle Standard,Chrome,Vintage-Style,3-Ply Black,Knurled Flat-Top,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Padded Gig Bag,"Fender Rumble™ 15 Amplifier, Fender Padded Gig Bag, Fender Guitar Strap, Fender 10' Instrument Cable, 3-Month Fender Play™ Subscription",,,,,,,,,,,,
1,Vintera® II '60s Bass VI,"1,359.00 €",Ontano,Bass VI,Gloss Polyester,Maple,Gloss Urethane,"Mid '60s ""C""","30"" (762 mm)",Slab Rosewood,"7.25"" (184.1 mm)",21,Vintage Tall,Synthetic Bone,"1.650"" (42 mm)",A Punto Bianchi,Vintage-Style Butt Adjust,Vintage-Style Bass VI Single-Coil,Vintage-Style Bass VI Single-Coil,"Master Volume, Master Tone",SSS,6-Saddle Vintage-Style Adjustable with “Floating” Tremolo Tailpiece,Nickel/Chrome,Fender® Vintage-Style,3-Ply Parchment,Black Plastic,"Fender® USA Bass VI Nickel Plated Steel (.024-.100 Gauges), PN 0730250413",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt Standard,White,Vintage-Style Butt Adjust,Vintage-Style Bass VI Single-Coil,"3 Pickup On/Off Switches, 1 Low Cut Switch",4-Bolt Vintage-Style,,,,,,
2,Precision Bass® Vintera® II '60s,"1,179.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Gloss Urethane,"Early '60s ""C""","34"" (86.36 cm)",Slab Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Synthetic Bone,"1.75"" (44.45 mm)",A Punto Bianchi,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",Split Single-Coil,4-Saddle Vintage-Style with Threaded Steel Saddles,Nickel/Chrome,Vintage-Style Open-Back,4-Ply Tortoiseshell,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt Standard,White,Vintage-Style Butt Adjust,Vintage-Style '60s Split Single-Coil Precision Bass®,None,4-Bolt Vintage-Style,,,,,,
3,Limited Edition American Ultra Precision Bass®,"2,999.00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Basso Telecaster® Vintera® II '70s,"1,219.00 €",Ontano,Telecaster® Bass,Gloss Polyester,Maple,Gloss Urethane,"Mid '70s ""C""","34"" (86.36 cm)",Maple,"7.25"" (184.1 mm)",20,Vintage Tall,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Nero,Bullet Style,,"Fender® ""Wide Range"" Humbucking Bass","Master Volume, Master Tone",H,2-Saddle Vintage-Style Adjustable with Steel Barrel Saddles,Nickel/Chrome,Fender® '70s Vintage-Style Stamped Open-Gear,3-Ply Parchment,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,3-Bolt,Black,Bullet Style,,None,"3-Bolt ""F"" Stamped with Micro-Tilt™",,,,,,
5,Basso Mustang® Vintera® II '70s Competition,"1,159.00 €",Ontano,Mustang® Bass,Gloss Polyester,Maple,Gloss Urethane,"Early '70s ""C""","30"" (762 mm)",Slab Rosewood,"7.25"" (184.1 mm)",19,Vintage Tall,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Bianchi,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",Split Single-Coil,4-Saddle Mustang® Bass Strings-Through-Body,Nickel/Chrome,Fender® '70s Vintage-Style Stamped Open-Gear,4-Ply Aged White Pearloid,Black Plastic,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt Standard,White,Vintage-Style Butt Adjust,Vintage-Style '70s Split Single-Coil Mustang Bass®,None,"4-Bolt with ""F"" Logo",,,,,,
6,Jazz Bass® Player in Edizione Limitata,"1,029.00 €",Ontano,Jazz Bass®,Gloss Polyester,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Standard,Pure Vintage '64 Single-Coil Jazz Bass®,,"Dual Concentric Volumes, Master Tone",SS,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,,,,"3/16"" Hex Adjustment",Pure Vintage '64 Single-Coil Jazz Bass®,None,"4-Bolt with ""F"" Logo","Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
7,Jazz Bass® Vintera® II '60s,"1,169.00 €",Ontano,Jazz Bass®,Gloss Polyester,Maple,Gloss Urethane,"Early '60s ""C""","34"" (86.36 cm)",Slab Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Vintage-Style Butt Adjust,Vintage-Style '60s Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Tone",SS,4-Saddle Vintage-Style with Threaded Steel Saddles,Nickel/Chrome,Vintage-Style Open-Back,3-Ply Mint Green,Black Plastic,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt Standard,White,Vintage-Style Butt Adjust,Vintage-Style '60s Single-Coil Jazz Bass®,None,4-Bolt Vintage-Style,,,,,,
8,Player Precision Bass®,889.00 €,Ontano,Precision Bass®,Gloss Polyester,Maple,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front","Modern ""C""","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Nero,Standard,,,"Master Volume, Master Tone",S,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,4-Bolt Standard,,"3/16"" Hex Adjustment",Player Series Alnico 5 Split Single-Coil Precision Bass®,None,"4-Bolt with ""F"" Logo","Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
9,Precision Bass® Vintera® II '50s,"1,169.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Gloss Urethane,"Late '50s ""C""","34"" (86.36 cm)",Maple,"7.25"" (184.1 mm)",20,Vintage Tall,Synthetic Bone,"1.75"" (44.45 mm)",A Punto Nero,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",Split Single-Coil,4-Saddle Vintage-Style with Threaded Steel Saddles,Nickel/Chrome,Vintage-Style Open-Back,1-Ply Gold Anodized Aluminum,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt Standard,Black,Vintage-Style Butt Adjust,Vintage-Style '50s Split Single-Coil Precision Bass®,None,4-Bolt Vintage-Style,,,,,,
