,Bridges
Hipshot - 4 String KickAss™ Bass Bridge,$112.20
Hipshot - 5 String KickAss™ Bass Bridge,$138.15
Hipshot - A Style Fender® Mount Bridges,$168.51
Hipshot - 4 String A Style Bass Bridge,$168.51
Hipshot - 5 String A Style Bass Bridge,$191.27
Hipshot - 6 String A Style Bass Bridge,$252.26
Hipshot - 7 String A Style Bass Bridge,$218.60
Hipshot - SuperTone Gibson® Bass Replacement Bridge,$158.40
Hipshot - B Style Fender® Mount Bridges,$129.04
Hipshot - 4 String B Style Bass Bridge,$129.04
Hipshot - 5 String B Style Bass Bridge,$138.15
Hipshot - Rickenbacker® Replacement Bridge (Pre 2020),$250.56
Hipshot - 4 String Vintage Bass Bridge,$129.04
Hipshot - 5 String Vintage Bass Bridge,$138.15
Hipshot - 4 String D Style Bass Bridge,$237.60
Hipshot - 5 String D Style Bass Bridge,$277.20
Hipshot - 4 String TransTone Bass Bridge,$112.20
Hipshot - 5 String TransTone Bass Bridge,$120.12
Hipshot - 4 String Bass Vibrato,$351.12
Hipshot - 5 String Bass Tremolo,$382.80
Hipshot - Solo™ - Single String Bass Bridge,$42.24
Hipshot - Triple Lock Down Single String Bass Bridge,$39.60
ABM 3704b19 MKII,"190,26 EUR"
ABM 3704c19 MKII,"165,46 EUR"
ABM 3704g19 MKII,"191,73 EUR"
ABM 3704ca19 MKII,"165,46 EUR"
ABM 3704ga19 MKII,"191,73 EUR"
"Babicz FCH-4 Bass bridge, 
5 hole mount Nickel", $164.95 USD
"Babicz FCH-4 Bass bridge, 
5 hole mount Nickel Chrome", $164.95 USD
"Babicz FCH-4 Bass bridge, 
5 hole mount Nickel Chrome Gold", $189.95 USD
"Babicz FCH-4 Bass bridge, 
5 hole mount Nickel Chrome Gold Black", $179.95 USD
Kahler - 2440 Series Professional Fixed Bass Bridge System,$149.00 – $259.00
Kahler - 7440 Series Hybrid Fixed Bass Bridge System,$149.00 – $259.00
