,Bartolini Pickups
4-String Classic Dual Coil J-Bass – 9CBJD1,$115.00 – $230.00
4-String Classic Dual Coil J-Bass – 9CBJD3,$115.00 – $230.00
4-String Classic Single Coil J-Bass – 9CBJS1,$95.00 – $190.00
4-String Classic Single Coil J-Bass – 9CBJS3,$95.00 – $190.00
4-String J-Bass – b-axis J44J,$140.00 – $280.00
4-String Original Dual Coil J-Bass – 9J,$125.00 – $250.00
4-String Original Single Coil J-Bass – 9S,$110.00 – $220.00
4-String Original Single Coil J-Bass – 9SU,$110.00 – $220.00
5-String Classic Dual Coil J-Bass – 57CBJD1,$120.00 – $240.00
5-String Classic Dual Coil J-Bass – 57CBJD3,$120.00 – $240.00
5-String Classic Dual Coil J-Bass – 59CBJD1,$120.00 – $240.00
5-String Classic Dual Coil J-Bass – 59CBJD3,$120.00 – $240.00
5-String Classic Single Coil J-Bass – 57CBJS,$100.00 – $200.00
5-String Classic Single Coil J-Bass – 59CBJS,$100.00 – $200.00
5-String J-Bass – b-axis J45J-18,$155.00 – $310.00
5-String J-Bass – b-axis J45J-19,$155.00 – $310.00
5-String J-Bass – b-axis J55J-18,$155.00 – $310.00
5-String J-Bass – b-axis J55J-19,$155.00 – $310.00
5-String Original Dual Coil J-Bass – 57J,$130.00 – $260.00
5-String Original Dual Coil J-Bass – 59J,$130.00 – $260.00
5-String Original Single Coil J-Bass – 59JS,$120.00 – $240.00
5-String Original Single Coil J-Bass – 59S,$120.00 – $240.00
6-String Classic Dual Coil J-Bass – 67CBJD1,$160.00 – $320.00
6-String Classic Dual Coil J-Bass – 67CBJD3,$160.00 – $320.00
6-String Original Dual Coil J-Bass – 69J,$140.00 – $280.00
4-String Classic P-Bass – 8CBP,$175.00
4-String Original P-Bass – 8S,$195.00
4-String Original P-Bass – 8SU,$195.00
4-String P-Bass – b-axis PB4,$200.00
4-String 2J Squared MusicMan MM Shape – MM42CBJD3,$255.00
4-String Classic Bass MusicMan MM Shape – MM4CBC,$165.00
4-String Original Series MusicMan MM Shape – MMC,$170.00
4-String 2J Squared BB Soapbar – BB42J,$215.00
4-String BB Shape J Soapbar – BB4J,$170.00
4-String BB Shape P Soapbar – BB4P,$180.00
4-String Classic Bass BB Soapbar – BB4CBC,$165.00
4-String Original BB Soapbar – BB4C,$185.00
4-String SINGULARITY BB Soapbar – BB4S,$130.00
4-String Classic Bass X4 Candybar – X44CBJD,$115.00 – $230.00
4-String Classic Bass X4 Candybar – X44CBJS,$95.00 – $190.00
4-String Original X4 Candybar – X44J,$120.00 – $240.00
4-String b-axis PJ-Bass – b-axis PB4 + J44J,$140.00 – $200.00
4-String Classic PJ-Bass – 8CBP + 9CBJD,$115.00 – $175.00
4-String Original PJ-Bass – 8S + 9J,$125.00 – $195.00
5-String Classic PJ-Bass – 58CBP + 59CBJD,$120.00 – $180.00
5-String Original PJ-Bass – 58S + 59J,$130.00 – $200.00
4-String Rickenbacker – 6R,$190.00
4-String Vintage Gibson – 1CB,$180.00
4-String Vintage Gibson – 1CBC,$165.00
4-String Vintage Gibson Classic Bass – T4CBC,$165.00
4-String Vintage Gibson Original Series – T4C,$150.00
4-String Vintage Washburn – W4CBC,$165.00
