,Product Name,Price,Model Name,Item Number,Guitar Color Shown,Tuners,Fretboard Material,Neck Material,Inlays,Side Dot Markers,Scale,Neck Shape,Thickness,Frets,Fretboard Radius,Nut,Nut Width,Truss Rod,Guitar Colors,Hardware Color,Top Contour,Dexterity,Construction,Body Material,Top Material,Bridge,Controls,Bridge Pickup,Neck Pickup,Knobs,Strings,Case,Binding,Battery Compartment,Middle Pickup
0,C-4 Plus, $599.00 ,590,590,Charcoal Burst,Schecter,Rosewood,Maple,Dots,Dots,"34""","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",24 Narrow X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,38mm,"2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Charcoal Burst,Chrome,Flat Top,Right Handed,Bolt-on,Basswood,Quilted Maple,Diamond Bass,Volume/Blend/2-Band EQ,Schecter Diamond Bass,Schecter Diamond Bass,Metal Dome w/ Set Screw,Ernie Ball 4 String Short Scale #2852 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,,,
1,Banshee Bass, $799.00 ,Banshee Bass,1440,Carbon Grey,WSC KG700 Light Weight Vintage,Rosewood,Maple w/ Carbon Fiber Reinforcement Rods,Pearloid Offset/Reverse Dots,,"30"" (762MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",20 Narrow X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Carbon Grey,Chrome,Flat Top,Right Handed,Bolt-on,Alder,,Schecter High Mass Bass String Thru (or Top Load),Volume/Tone,,Schecter Diamond QPA,Metal Knurled w/ Set Screw,Ernie Ball 4 String Short Scale #2852 (.045-.105),,,,
2,Banshee Bass LH, $849.00 ,Banshee Bass LH,1443,Olympic White,KG700,Rosewood,Roasted Hard Rock Maple,Offset/Reverse Pearloid Dots,Dots,"30"" (762MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",20 Narrow Jumbo,"16"" (406MM)",Graph Tech XL Ivory Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Olympic White,Chrome,Flat Top,Left Handed,5 Bolt-On Recessed,Alder,,Schecter High Mass Bass String Thru (or Top Load),Volume/Tone,,Schecter Diamond QPA,Metal Knurled w/ Set Screw,Ernie Ball 4 String Long #2833 (.045-.105),1671 SGR-Universal Bass Hardcase,,,
3,C-4 Deluxe, $549.00 ,C-4 Deluxe,583,,Schecter,Rosewood,Maple,Dots,Dots,"34""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",24 Narrow X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,38mm,"2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Chrome,Flat Top w/Bevel Edge,Right Handed,Bolt On,Basswood,,Diamond Bass,Volume/Blend/2-Band EQ,Schecter Diamond Bass,Schecter Diamond Bass,Metal Dome w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,,,
4,C-4 GT," $1,099.00 ",C-4 GT,1530,Satin Trans Purple with Black Racing Stripe,Schecter,Ebony,Mahogany 3-pc w/ Carbon Fiber Reinforcement Rods,Offset/Reverse Roman Numerals,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Satin Trans Purple with Black Racing Stripe,Black,Full Radius Arch Top,Left Handed,Set-Neck w/Ultra Access,Mahogany,Flamed Maple,Schecter Custom Bass Bridge String Thru,Volume/Blend/2-Band EMG EQ,EMG 40DC (Purple),EMG 40P5 (Purple),Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,Black 1-ply,9-volt Clip-in Battery Compartment,
5,C-4 GT LH," $1,149.00 ",C-4 GT LH,1532,Satin Trans Purple with Black Racing Stripe,Schecter,Ebony,Maple 3-pc w/ Carbon Fiber Reinforcement Rods,Offset/Reverse Roman Numerals,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Satin Trans Purple with Black Racing Stripe,Black,Full Radius Arch Top,Left Handed,Set-Neck w/Ultra Access,Mahogany,Flamed Maple,Schecter Custom Bass Bridge String Thru,Volume/Blend/2-Band EMG EQ,EMG 40DC (Purple),EMG 40P5,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Black 1-ply,9-volt Clip-in Battery Compartment,
6,C-4 Silver Mountain," $1,299.00 ",C-4 Silver Mountain,1490,Toxic Venom,Grover Bass 144 Series,Ebony,Mahogany 3-pc w/ Carbon Fiber Reinforcement Rods,Abalone Lines,Luminlay Glow in the Dark,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo Stainless Steel,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Toxic Venom,Black,Arched Top,Right Handed,Set-Neck w/Ultra Access,Mahogany,,Schecter Custom Bass String Thru (or Top Load),"Master Volume (Push-Pull for Single Coil)/Blend/2-Band Fishman EQ/3-Way Toggle Voicing Switch (1-Classic, 2-Funk, 3-Modern)",Fishman Fluence Bass Soapbar,Fishman Fluence Bass Soapbar,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,Black 1-ply,9-volt Clip-in Battery Compartment,
7,C-4 Silver Mountain LH," $1,449.00 ",C-4 Silver Mountain LH,1492,Toxic Venom,Grover Bass 144 Series,Ebony,Mahogany 3-pc w/ Carbon Fiber Reinforcement Rods,Abalone Lines,Luminlay Glow in the Dark,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo Stainless Steel,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Toxic Venom,Black,Arched Top,Left Handed,Set-Neck w/Ultra Access,Mahogany,,Schecter Custom Bass String Thru (or Top Load),Volume (Push-Pull)/B...EQ/3-Way Mini Toggle,Fishman Fluence Bass,Fishman Fluence Bass,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,Black 1-ply,9-volt Clip-in Battery Compartment,
8,Charles Berthoud CB-4," $1,499.00 ",Charles Berthoud CB-4,2871,See Thru Black Satin,Grover Bass 144 Series,Rosewood,Walnut with Padauk Stringers & 2 Carbon Fiber Reinforcement Rods,Abalone Offset Dots,Dots,"34""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",24 Jumbo,"16""",Graph Tech Black Tusq XL,38mm,2-Way Adjustable Rod w/ Heel Access Spoke Wheel,See Thru Black Satin,Black,Flat Top,Right Handed,Thru-Neck w/Ultra Access,Ash,Flamed Maple,Schecter Diamond Custom Bass,Master Volume/Blend Control/EMG 3-band B64 EQ,EMG 35HZ,EMG 35HZ,Metal Dome w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,,18-volt w/Screw Plate,
9,Charles Berthoud CB-4 LH," $1,549.00 ",Charles Berthoud CB-4 LH,2872,See Thru Black Satin,Grover Bass 144 Series,Rosewood,Walnut with Padauk Stringers & 2 Carbon Fiber Reinforcement Rods,Abalone Offset Dots,Dots,"34""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",24 Jumbo,"16""",Graph Tech XL Black Tusq,38mm,2-Way Adjustable Rod w/ Heel Access Spoke Wheel,See Thru Black Satin,Black,Flat Top,Left Handed,Thru-Neck w/Ultra Access,Ash,Flamed Maple,Schecter Custom Bass,Master Volume/Blend Control/EMG 3-band B64 EQ,EMG 35HZ,EMG 35HZ,Metal Dome w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
