,0
Body Pacific Coast Maple  2pz,€ 45.00
Body Tiglio Roasted 2pz,€ 50.00
Body Alder 3pz,€ 45.00
Body Frassino Europeo Roasted 2pz,€ 55.00
Body Frassino Europeo 2pz,€ 45.00
Body Okume 1pz,€ 50.00
Body Okume 2pz,€ 40.00
Body Black Limba 2pz,€ 40.00
Body White Limba 1pz,€ 55.00
Body White Limba 2pz,€ 48.00
Body Sassofrasso 2pz,€ 60.00
Body Pioppo Figurato 1pz,€ 35.00
Body Pioppo Figurato 2pz,€ 30.00
Body Mogano Sipo 1pz,€ 50.00
Body Mogano Sipo 2pz,€ 40.00
Body Yellowpine 1pz,€ 45.00
Body Yellowpine 2pz,€ 40.00
Body Alder 2pz,€ 57.00
Body Mogano Kaya 1pz,€ 53.00
Body Mogano Kaya 2pz,€ 42.00
