,0
Top Faggio Spalted Roasted – 2 pz,€ 92.00
Top Ulivo A – 2 pz,€ 55.00
Top Ulivo EX – 2 pz,€ 75.00
Top Acero Marezzato Roasted 2 pz,€ 70.00
Top Frassino Europeo- 2 pz,€ 25.00
Top Platano Spalted 2 pz,€ 55.00
Top Acero Marezzato EX 2pz,€ 65.00
Top Faggio Spalted EX – 2 pz,€ 100.00
Top Faggio Spalted A – 2 pz,€ 55.00
Top Faggio Spalted B – 2 pz,€ 40.00
Top Pioppo Nero A 2pz,€ 30.00
Top Pioppo Nero EX 2pz,€ 45.00
Top Ebano Verde 2pz,€ 90.00
Top Wenge’ 2pz,€ 40.00
Top Tanganika Marezzato 2pz,€ 40.00
Top Acero Marezzato A 2pz,€ 57.00
Top Black Limba 2pz,€ 28.00
